ID,关键词,搜索量,关键词难度,CPC,竞争度,结果数量,趋势,趋势得分,商业价值,时间戳,SERP特性,关键词意图,位置类型,KWS,语言,创建时间,更新时间,用户状态,状态备注,状态更新时间
3047397,"how to beat 2048",1600,33,0.01,0,10,"13,29,29,19,13,19,7,13,13,16,5,5",-0.59,7,2025-09-15T00:00:00.000Z,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational","Organic",,"eng",2025-09-22T00:48:08.000Z,2025-09-29T17:33:38.000Z,,"",
3607584,"how to win 2048",1300,58,0.01,0,38000000,"16,29,29,16,12,16,12,12,12,16,10,8",-5.18,4,2025-09-17T00:00:00.000Z,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview","informational","Organic",,"eng",2025-09-27T01:26:09.000Z,2025-09-28T17:41:56.000Z,,"",
3023947,"how to play 2048",590,67,,,160000000,"39,48,59,72,59,59,59,48,48,59,59,39",,,2025-09-04T00:00:00.000Z,"Sitelinks, Video, Featured snippet, Related searches","informational","Organic",,"eng",2025-09-18T09:36:12.000Z,2025-09-28T16:01:06.000Z,,"",
3023825,"how do you win the game 2048",590,53,0.01,,6760000,"36,45,30,45,20,24,10,45,36,100,62,36",14.71,,2025-08-30T00:00:00.000Z,"Sitelinks, Video, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T17:33:38.000Z,,"",
3023312,"how do i beat 2048",590,60,,,11700000,"24,20,30,36,13,24,8,20,36,100,81,30",23.02,,2025-09-05T00:00:00.000Z,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T17:33:38.000Z,,"",
3023300,"how do you win 2048 game",590,60,0.01,,6790000,"36,45,30,45,20,24,10,45,36,100,62,36",14.71,,2025-09-06T00:00:00.000Z,"Sitelinks, Video, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T01:34:29.000Z,,"",
3023637,"how to beat 2048 the game",480,51,,,4860000,"24,20,13,8,13,24,8,6,6,100,81,30",21.68,,2025-09-02T00:00:00.000Z,"Sitelinks, Video, Featured snippet, Related searches","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023603,"how to win in 2048 game",480,45,0.01,,12200000,"36,45,13,16,20,24,10,6,6,100,62,36",,,2025-09-01T00:00:00.000Z,"Image pack, Video, Featured snippet, Image, Related searches","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023470,"how do you win at 2048",480,58,0.01,,18100000,"36,45,13,16,20,24,10,6,6,100,62,36",,,2025-09-04T00:00:00.000Z,"Video, Image, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-28T16:01:06.000Z,,"",
3023436,"how do i win 2048",480,61,0.01,,19100000,"45,55,24,45,6,30,16,6,5,100,67,45",9.06,,2025-09-06T00:00:00.000Z,"Sitelinks, Video, Image, People also ask, Related searches, AI overview","informational","Organic",,"eng",2025-09-18T09:20:38.000Z,2025-09-29T17:33:38.000Z,,"",
